rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
97,frame_0203.jpg,81.2,0.4226,0.332,0.4286,0.64,5,3,False,False
98,frame_0295.jpg,118.0,0.4212,0.3989,0.2857,0.68,4,2,False,False
99,frame_0010.jpg,4.0,0.4207,0.3557,0.1429,1.0,3,1,False,False
100,frame_0115.jpg,46.0,0.4181,0.3654,0.5714,0.32,6,4,False,False
101,frame_0196.jpg,78.4,0.4146,0.5994,0.1429,0.36,1,1,False,False
102,frame_0285.jpg,114.0,0.4117,0.4119,0.2857,0.6,6,2,False,False
103,frame_0021.jpg,8.4,0.4107,0.2499,0.2857,1.0,7,2,False,False
104,frame_0229.jpg,91.6,0.4072,0.3539,0.7143,0.08,10,5,False,False
105,frame_0198.jpg,79.2,0.4059,0.4643,0.2857,0.44,3,2,False,False
106,frame_0011.jpg,4.4,0.3988,0.3119,0.1429,1.0,4,1,False,False
107,frame_0211.jpg,84.4,0.3981,0.3687,0.2857,0.64,3,2,False,False
108,frame_0332.jpg,132.8,0.3972,0.4355,0.5714,0.04,10,4,False,False
109,frame_0175.jpg,70.0,0.3968,0.4244,0.4286,0.28,7,3,False,False
110,frame_0200.jpg,80.0,0.3968,0.4142,0.2857,0.52,3,2,False,False
111,frame_0027.jpg,10.8,0.3916,0.2975,0.1429,1.0,2,1,False,False
112,frame_0299.jpg,119.6,0.3909,0.4024,0.2857,0.52,5,2,False,False
113,frame_0068.jpg,27.2,0.3876,0.2894,0.1429,1.0,7,1,False,False
114,frame_0025.jpg,10.0,0.3875,0.2893,0.1429,1.0,4,1,False,False
115,frame_0185.jpg,74.0,0.3866,0.484,0.4286,0.08,8,3,False,False
116,frame_0114.jpg,45.6,0.3856,0.402,0.4286,0.28,4,3,False,False
117,frame_0389.jpg,155.6,0.3852,0.3796,0.5714,0.12,8,4,False,False
118,frame_0215.jpg,86.0,0.3844,0.3196,0.4286,0.48,5,3,False,False
119,frame_0209.jpg,83.6,0.3827,0.306,0.2857,0.72,4,2,False,False
120,frame_0321.jpg,128.4,0.3798,0.4225,0.4286,0.2,6,3,False,False
121,frame_0212.jpg,84.8,0.3775,0.3436,0.2857,0.6,3,2,False,False
122,frame_0316.jpg,126.4,0.3766,0.4321,0.4286,0.16,6,3,False,False
123,frame_0116.jpg,46.4,0.3765,0.3518,0.4286,0.36,7,3,False,False
124,frame_0189.jpg,75.6,0.3744,0.4596,0.4286,0.08,5,3,False,False
125,frame_0222.jpg,88.8,0.3742,0.4113,0.4286,0.2,3,3,False,False
126,frame_0086.jpg,34.4,0.3738,0.2824,0.4286,0.52,4,3,False,False
127,frame_0225.jpg,90.0,0.3736,0.458,0.4286,0.08,6,3,False,False
128,frame_0233.jpg,93.2,0.3734,0.3937,0.4286,0.24,10,3,False,False
129,frame_0319.jpg,127.6,0.3721,0.4608,0.2857,0.28,5,2,False,False
130,frame_0208.jpg,83.2,0.3716,0.2678,0.2857,0.76,4,2,False,False
131,frame_0169.jpg,67.6,0.3707,0.3619,0.2857,0.52,6,2,False,False
132,frame_0132.jpg,52.8,0.3704,0.255,0.1429,1.0,4,1,False,False
133,frame_0305.jpg,122.0,0.3697,0.3703,0.4286,0.28,4,3,False,False
134,frame_0117.jpg,46.8,0.3693,0.4071,0.2857,0.4,7,2,False,False
135,frame_0303.jpg,121.2,0.3597,0.3183,0.4286,0.36,6,3,False,False
136,frame_0367.jpg,146.8,0.3578,0.3408,0.5714,0.08,7,4,False,False
137,frame_0120.jpg,48.0,0.357,0.3346,0.2857,0.52,4,2,False,False
138,frame_0094.jpg,37.6,0.3562,0.3753,0.4286,0.2,8,3,False,False
139,frame_0084.jpg,33.6,0.3538,0.2962,0.2857,0.6,4,2,False,False
140,frame_0192.jpg,76.8,0.3536,0.37,0.4286,0.2,4,3,False,False
141,frame_0387.jpg,154.8,0.3522,0.3673,0.4286,0.2,9,3,False,False
142,frame_0210.jpg,84.0,0.3516,0.2598,0.2857,0.68,4,2,False,False
143,frame_0327.jpg,130.8,0.3503,0.3417,0.5714,0.04,8,4,False,False
144,frame_0322.jpg,128.8,0.3501,0.3791,0.4286,0.16,7,3,False,False
145,frame_0089.jpg,35.6,0.349,0.2809,0.4286,0.4,5,3,False,False
146,frame_0271.jpg,108.4,0.3486,0.424,0.4286,0.04,5,3,False,False
147,frame_0317.jpg,126.8,0.3455,0.3538,0.4286,0.2,6,3,False,False
148,frame_0133.jpg,53.2,0.3429,0.2,0.1429,1.0,5,1,False,False
149,frame_0228.jpg,91.2,0.3427,0.3266,0.5714,0.04,6,4,False,False
150,frame_0279.jpg,111.6,0.3424,0.3693,0.2857,0.36,6,2,False,False
151,frame_0320.jpg,128.0,0.34,0.4126,0.2857,0.24,6,2,False,False
152,frame_0329.jpg,131.6,0.3398,0.3905,0.4286,0.08,8,3,False,False
153,frame_0297.jpg,118.8,0.3391,0.2667,0.2857,0.6,5,2,False,False
154,frame_0394.jpg,157.6,0.3361,0.3831,0.4286,0.08,7,3,False,False
155,frame_0092.jpg,36.8,0.3357,0.3879,0.2857,0.28,3,2,False,False
156,frame_0172.jpg,68.8,0.3351,0.3387,0.2857,0.4,4,2,False,False
157,frame_0306.jpg,122.4,0.334,0.3148,0.4286,0.24,7,3,False,False
158,frame_0269.jpg,107.6,0.3316,0.39,0.4286,0.04,6,3,False,False
159,frame_0121.jpg,48.4,0.3314,0.2673,0.2857,0.56,5,2,False,False
160,frame_0186.jpg,74.4,0.3297,0.3862,0.4286,0.04,10,3,False,False
161,frame_0390.jpg,156.0,0.3287,0.3683,0.4286,0.08,6,3,False,False
162,frame_0183.jpg,73.2,0.3266,0.4657,0.2857,0.04,4,2,False,False
163,frame_0328.jpg,131.2,0.3261,0.363,0.4286,0.08,7,3,False,False
164,frame_0022.jpg,8.8,0.3254,0.2507,0.0,1.0,3,0,False,False
165,frame_0096.jpg,38.4,0.325,0.4306,0.2857,0.12,5,2,False,False
166,frame_0272.jpg,108.8,0.3241,0.4447,0.2857,0.08,3,2,False,False
167,frame_0304.jpg,121.6,0.3235,0.3476,0.2857,0.32,9,2,False,False
168,frame_0388.jpg,155.2,0.323,0.3248,0.4286,0.16,8,3,False,False
169,frame_0207.jpg,82.8,0.3214,0.2371,0.1429,0.8,3,1,False,False
170,frame_0023.jpg,9.2,0.3186,0.2373,0.0,1.0,3,0,False,False
171,frame_0206.jpg,82.4,0.3181,0.2465,0.1429,0.76,4,1,False,False
172,frame_0282.jpg,112.8,0.3176,0.2717,0.2857,0.48,5,2,False,False
173,frame_0082.jpg,32.8,0.3154,0.2731,0.1429,0.68,5,1,False,False
174,frame_0193.jpg,77.2,0.3137,0.36,0.2857,0.24,7,2,False,False
175,frame_0197.jpg,78.8,0.3112,0.3767,0.1429,0.4,2,1,False,False
176,frame_0012.jpg,4.8,0.3082,0.2164,0.0,1.0,3,0,False,False
177,frame_0205.jpg,82.0,0.3073,0.2408,0.1429,0.72,4,1,False,False
178,frame_0386.jpg,154.4,0.3053,0.3432,0.2857,0.24,6,2,False,False
179,frame_0315.jpg,126.0,0.3049,0.3904,0.2857,0.12,8,2,False,False
180,frame_0232.jpg,92.8,0.3038,0.3562,0.2857,0.2,4,2,False,False
181,frame_0296.jpg,118.4,0.3028,0.2639,0.1429,0.64,4,1,False,False
182,frame_0230.jpg,92.0,0.3015,0.3835,0.2857,0.12,10,2,False,False
183,frame_0179.jpg,71.6,0.3012,0.3829,0.2857,0.12,7,2,False,False
184,frame_0204.jpg,81.6,0.3012,0.2447,0.1429,0.68,5,1,False,False
185,frame_0174.jpg,69.6,0.2965,0.2936,0.2857,0.32,7,2,False,False
186,frame_0385.jpg,154.0,0.296,0.3406,0.2857,0.2,7,2,False,False
187,frame_0090.jpg,36.0,0.2958,0.2761,0.2857,0.36,5,2,False,False
188,frame_0308.jpg,123.2,0.2958,0.3562,0.2857,0.16,8,2,False,False
189,frame_0373.jpg,149.2,0.2946,0.3537,0.2857,0.16,4,2,False,False
190,frame_0273.jpg,109.2,0.2924,0.3653,0.2857,0.12,7,2,False,False
191,frame_0093.jpg,37.2,0.2913,0.3151,0.2857,0.24,6,2,False,False
192,frame_0194.jpg,77.6,0.2896,0.2958,0.2857,0.28,5,2,False,False
